value,hour,site,season,var
0.005859375,20,FR-Cap,Winter,TBUILD
0.0053710938,21,FR-Cap,Winter,TBUILD
0.004638672,22,FR-Cap,Winter,TBUILD
0.0024108887,23,FR-Cap,Winter,TBUILD
0.3330179,0,UK-MCR,Summer,TRAFFICFLUX
0.16645317,1,UK-MCR,Summer,TRAFFICFLUX
0.16647361,2,UK-MCR,Summer,TRAFFICFLUX
0.0,3,UK-MCR,Summer,TRAFFICFLUX
2.8592745e-05,4,UK-MCR,Summer,TRAFFICFLUX
1.3854023e-05,5,UK-MCR,Summer,TRAFFICFLUX
0.00049597776,6,UK-MCR,Summer,TRAFFICFLUX
0.16700397,7,UK-MCR,Summer,TRAFFICFLUX
0.33352333,8,UK-MCR,Summer,TRAFFICFLUX
0.50012255,9,UK-MCR,Summer,TRAFFICFLUX
0.6668116,10,UK-MCR,Summer,TRAFFICFLUX
0.6666898,11,UK-MCR,Summer,TRAFFICFLUX
0.8336577,12,UK-MCR,Summer,TRAFFICFLUX
0.8335129,13,UK-MCR,Summer,TRAFFICFLUX
0.8326771,14,UK-MCR,Summer,TRAFFICFLUX
0.83298737,15,UK-MCR,Summer,TRAFFICFLUX
0.9992195,16,UK-MCR,Summer,TRAFFICFLUX
0.9988968,17,UK-MCR,Summer,TRAFFICFLUX
1.0,18,UK-MCR,Summer,TRAFFICFLUX
0.83273286,19,UK-MCR,Summer,TRAFFICFLUX
0.66640306,20,UK-MCR,Summer,TRAFFICFLUX
0.49985525,21,UK-MCR,Summer,TRAFFICFLUX
0.49976662,22,UK-MCR,Summer,TRAFFICFLUX
0.4997262,23,UK-MCR,Summer,TRAFFICFLUX
0.31906128,0,UK-MCR,Summer,TG_U
0.29449463,1,UK-MCR,Summer,TG_U
0.29037476,2,UK-MCR,Summer,TG_U
0.26278687,3,UK-MCR,Summer,TG_U
0.2441101,4,UK-MCR,Summer,TG_U
0.258667,5,UK-MCR,Summer,TG_U
0.287323,6,UK-MCR,Summer,TG_U
0.29122925,7,UK-MCR,Summer,TG_U
0.2849121,8,UK-MCR,Summer,TG_U
0.26800537,9,UK-MCR,Summer,TG_U
0.29769897,10,UK-MCR,Summer,TG_U
0.2852173,11,UK-MCR,Summer,TG_U
0.30419922,12,UK-MCR,Summer,TG_U
0.3067627,13,UK-MCR,Summer,TG_U
0.31292725,14,UK-MCR,Summer,TG_U
